Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,245.97999572753906,251.2100067138672,245.9499969482422,250.17999267578125,244.09532165527344,126925200
2019-01-03,248.22999572753906,248.57000732421875,243.6699981689453,244.2100067138672,238.27053833007812,144140700
2019-01-04,247.58999633789062,253.11000061035156,247.1699981689453,252.38999938964844,246.25155639648438,142628800
2019-01-07,252.69000244140625,255.9499969482422,251.69000244140625,254.3800048828125,248.19317626953125,103139100
2019-01-08,256.82000732421875,257.30999755859375,254.0,256.7699890136719,250.52503967285156,102512600
2019-01-09,257.55999755859375,258.9100036621094,256.19000244140625,257.9700012207031,251.6958770751953,95006600
2019-01-10,256.260009765625,259.1600036621094,255.5,258.8800048828125,252.58372497558594,96823900
2019-01-11,257.67999267578125,259.010009765625,257.0299987792969,258.9800109863281,252.6813201904297,73858100
2019-01-14,256.8599853515625,258.29998779296875,256.4100036621094,257.3999938964844,251.1397247314453,70908200
2019-01-15,257.82000732421875,260.70001220703125,257.80999755859375,260.3500061035156,254.01800537109375,85208300
2019-01-16,260.8299865722656,261.9700012207031,260.6000061035156,260.9800109863281,254.6326446533203,77636700
2019-01-17,260.010009765625,263.9200134277344,259.9599914550781,262.9599914550781,256.56451416015625,96118400
2019-01-18,264.9800109863281,266.9800109863281,263.0,266.4599914550781,259.9793701171875,127900300
2019-01-22,264.82000732421875,265.05999755859375,261.05999755859375,262.8599853515625,256.4669189453125,115531200
2019-01-23,264.010009765625,264.7900085449219,260.6600036621094,263.4100036621094,257.0035705566406,86030300
2019-01-24,263.2099914550781,264.20001220703125,262.0799865722656,263.54998779296875,257.14013671875,59204100
2019-01-25,265.6099853515625,266.70001220703125,263.6600036621094,265.7799987792969,259.31591796875,96883400
2019-01-28,263.3900146484375,263.8299865722656,261.7900085449219,263.760009765625,257.3450927734375,85613700
2019-01-29,263.9200134277344,264.54998779296875,262.4800109863281,263.4100036621094,257.0035705566406,66136300
2019-01-30,265.1000061035156,268.5199890136719,264.25,267.5799865722656,261.0721435546875,92473700
2019-01-31,267.510009765625,270.4700012207031,267.2699890136719,269.92999267578125,263.364990234375,104012100
2019-02-01,270.1499938964844,271.20001220703125,269.17999267578125,270.05999755859375,263.4917907714844,85782500
2019-02-04,270.1099853515625,272.0299987792969,269.3599853515625,271.9599914550781,265.3456115722656,60744800
2019-02-05,272.44000244140625,273.44000244140625,271.8800048828125,273.1000061035156,266.4578552246094,79552800
2019-02-06,272.7900085449219,273.3399963378906,271.9200134277344,272.739990234375,266.1065979003906,58347800
2019-02-07,270.94000244140625,271.54998779296875,268.2900085449219,270.1400146484375,263.5699157714844,95482000
2019-02-08,268.75,270.5799865722656,267.8299865722656,270.4700012207031,263.891845703125,75788900
2019-02-11,271.20001220703125,271.489990234375,270.0299987792969,270.6199951171875,264.0382080078125,68021400
2019-02-12,272.4200134277344,274.5199890136719,272.3399963378906,274.1000061035156,267.43359375,72270200
2019-02-13,275.0299987792969,275.92999267578125,274.55999755859375,274.989990234375,268.3018798828125,65277200
2019-02-14,273.7799987792969,275.6400146484375,272.8699951171875,274.3800048828125,267.7067565917969,83234400
2019-02-15,276.3599853515625,277.4100036621094,276.1300048828125,277.3699951171875,270.6240234375,97088700
2019-02-19,276.4800109863281,278.5799865722656,276.4700012207031,277.8500061035156,271.0923767089844,59120800
2019-02-20,277.80999755859375,278.9200134277344,277.25,278.4100036621094,271.63873291015625,76610800
2019-02-21,277.70001220703125,278.1000061035156,276.3500061035156,277.4200134277344,270.6728210449219,64214700
2019-02-22,278.1099853515625,279.3599853515625,277.3999938964844,279.1400146484375,272.3509826660156,78114600
2019-02-25,280.7300109863281,281.30999755859375,279.42999267578125,279.5199890136719,272.72174072265625,69030700
2019-02-26,279.1300048828125,280.29998779296875,278.8999938964844,279.32000732421875,272.526611328125,56844100
2019-02-27,278.5199890136719,279.5899963378906,277.4800109863281,279.20001220703125,272.4095764160156,56921600
2019-02-28,278.9599914550781,279.45001220703125,278.32000732421875,278.67999267578125,271.9021301269531,69268300
2019-03-01,280.44000244140625,280.8800048828125,278.82000732421875,280.4200134277344,273.599853515625,78880500
2019-03-04,281.6000061035156,281.8699951171875,276.8399963378906,279.3999938964844,272.60467529296875,106494600
2019-03-05,279.5400085449219,279.760009765625,278.4100036621094,279.0199890136719,272.23388671875,59114600
2019-03-06,279.1499938964844,279.1600036621094,276.9700012207031,277.3299865722656,270.5849914550781,75039800
2019-03-07,276.8299865722656,276.989990234375,274.07000732421875,275.010009765625,268.3214111328125,94885100
2019-03-08,272.94000244140625,274.6499938964844,272.4200134277344,274.4599914550781,267.78485107421875,85795800
2019-03-11,275.260009765625,278.6199951171875,275.2300109863281,278.44000244140625,271.66802978515625,65098900
2019-03-12,279.05999755859375,280.07000732421875,278.8500061035156,279.489990234375,272.69244384765625,79667500
2019-03-13,280.4800109863281,282.3800048828125,280.29998779296875,281.3399963378906,274.4974365234375,80639200
2019-03-14,281.3699951171875,281.8399963378906,280.6700134277344,281.1600036621094,274.32183837890625,67518400
2019-03-15,280.5400085449219,282.2099914550781,280.3299865722656,281.30999755859375,275.67718505859375,81309000
2019-03-18,281.54998779296875,282.6600036621094,281.29998779296875,282.3299865722656,276.67669677734375,62199800
2019-03-19,283.510009765625,284.3599853515625,281.4100036621094,282.3999938964844,276.7453308105469,90268100
2019-03-20,282.1600036621094,283.5,280.32000732421875,281.54998779296875,275.912353515625,84609200
2019-03-21,280.6400146484375,285.17999267578125,280.5899963378906,284.7300109863281,279.0287170410156,79550400
2019-03-22,283.2200012207031,283.79998779296875,279.17999267578125,279.25,273.65838623046875,122659300
2019-03-25,278.8699951171875,280.19000244140625,277.6400146484375,279.0400085449219,273.45263671875,85575200
2019-03-26,280.989990234375,282.17999267578125,279.55999755859375,281.1199951171875,275.4909362792969,68125900
2019-03-27,281.1099853515625,281.760009765625,277.92999267578125,279.6499938964844,274.0503845214844,72224700
2019-03-28,280.3500061035156,281.2099914550781,279.07000732421875,280.7099914550781,275.0892028808594,56238500
2019-03-29,282.3900146484375,282.8399963378906,281.1400146484375,282.4800109863281,276.8237609863281,82186800
2019-04-01,284.70001220703125,286.1600036621094,284.3999938964844,285.8299865722656,280.1066589355469,77617900
2019-04-02,286.0400085449219,286.2300109863281,285.0899963378906,285.9700012207031,280.24383544921875,40070400
2019-04-03,287.32000732421875,287.760009765625,285.75,286.4200134277344,280.6848449707031,68243200
2019-04-04,286.7799987792969,287.4599914550781,286.010009765625,287.17999267578125,281.4295959472656,48997500
2019-04-05,287.9200134277344,288.6300048828125,287.6000061035156,288.57000732421875,282.79180908203125,58621700
2019-04-08,288.1000061035156,288.9100036621094,287.3699951171875,288.7900085449219,283.0074157714844,53566300
2019-04-09,287.7200012207031,288.0799865722656,286.70001220703125,287.30999755859375,281.5570068359375,66142300
2019-04-10,287.7699890136719,288.3900146484375,287.30999755859375,288.2900085449219,282.5174255371094,52601500
2019-04-11,288.8299865722656,288.8399963378906,287.5799865722656,288.2099914550781,282.43902587890625,55093100
2019-04-12,290.0,290.4700012207031,288.260009765625,290.1600036621094,284.3499755859375,69727800
2019-04-15,290.239990234375,290.3500061035156,289.0799865722656,289.9700012207031,284.16375732421875,49596700
2019-04-16,290.95001220703125,291.010009765625,289.5,290.1600036621094,284.3499755859375,52153200
2019-04-17,291.3999938964844,291.42999267578125,288.989990234375,289.45001220703125,283.6541748046875,58268300
2019-04-18,290.1000061035156,290.32000732421875,288.6600036621094,290.0199890136719,284.2127380371094,68708500
2019-04-22,289.1700134277344,290.44000244140625,289.07000732421875,290.2699890136719,284.4577331542969,40160100
2019-04-23,290.67999267578125,293.1400146484375,290.4200134277344,292.8800048828125,287.0154724121094,52246600
2019-04-24,292.7900085449219,293.1600036621094,292.07000732421875,292.2300109863281,286.3785400390625,50392900
2019-04-25,292.1199951171875,292.7799987792969,290.7300109863281,292.04998779296875,286.2021179199219,57770900
2019-04-26,292.1000061035156,293.489990234375,291.239990234375,293.4100036621094,287.5348815917969,50916400
2019-04-29,293.510009765625,294.45001220703125,293.4100036621094,293.8699951171875,287.98565673828125,57197700
2019-04-30,293.489990234375,294.3399963378906,291.9200134277344,294.0199890136719,288.1326599121094,81111700
